ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin),Datestartname
FAST,2013-01-17,06:49:00,06:39:42,0.037500,"Thursday"
FAST,2013-07-10,06:49:00,06:42:16,0.016667,"Wednesday"
FFIV,2012-10-24,16:04:00,15:56:45,0.058974,"Wednesday"
FFIV,2013-01-23,16:04:00,15:59:19,0.076000,"Wednesday"
FFIV,2013-04-24,16:04:00,16:01:06,0.154023,"Wednesday"
FFIV,2013-07-24,16:04:00,15:56:26,0.099107,"Wednesday"
FISV,2013-02-05,16:05:00,15:59:24,0.051515,"Tuesday"
FISV,2013-04-30,16:01:00,15:56:36,0.072131,"Tuesday"
FISV,2013-07-30,16:01:00,15:54:15,0.065476,"Tuesday"
FLEX,2012-07-25,16:01:00,15:52:29,0.014286,"Wednesday"
FLEX,2013-01-24,16:01:00,15:58:20,0.040909,"Thursday"
FLEX,2013-04-30,16:01:00,15:56:36,0.034426,"Tuesday"
FLEX,2013-07-25,16:01:00,15:52:25,0.090426,"Thursday"
FLIR,2012-07-26,07:30:00,07:23:41,0.025000,"Thursday"
FLIR,2013-02-07,07:30:00,07:21:46,0.022449,"Thursday"
FLIR,2013-07-25,07:30:00,07:25:42,0.039655,"Thursday"
FSLR,2013-02-26,16:02:00,15:52:53,0.185366,"Tuesday"
FSLR,2013-05-06,16:04:00,16:00:00,0.088312,"Monday"
GMCR,2013-02-06,16:00:00,15:50:16,0.077049,"Wednesday"
GMCR,2013-05-08,16:00:00,15:58:40,0.080000,"Wednesday"
GRMN,2013-02-20,07:00:00,06:57:48,2.847727,"Wednesday"
ILMN,2012-07-24,16:04:00,15:56:03,0.278571,"Tuesday"
ILMN,2013-04-22,16:04:00,16:02:15,0.497143,"Monday"
ILMN,2013-07-23,16:04:00,15:56:50,0.403846,"Tuesday"
INTU,2012-05-17,16:00:00,15:57:48,NULL,NULL
INTU,2012-08-21,16:00:00,15:58:52,0.221739,"Tuesday"
INTU,2013-02-21,16:00:00,15:53:12,0.323529,"Thursday"
INTU,2013-08-20,16:03:00,15:56:29,0.825610,"Tuesday"
ISRG,2013-07-18,16:04:00,15:56:39,0.024719,"Thursday"
KLAC,2012-07-26,16:15:00,16:06:26,0.000000,"Thursday"
KLAC,2013-01-24,16:15:00,16:08:54,0.002439,"Thursday"
KLAC,2013-04-25,16:15:00,16:07:44,0.006557,"Thursday"
KLAC,2013-07-25,16:15:00,16:13:28,0.007895,"Thursday"
LLTC,2012-07-24,16:59:00,16:48:55,0.012500,"Tuesday"
LLTC,2013-04-16,16:59:00,16:56:16,0.007692,"Tuesday"
LRCX,2012-07-25,16:30:00,16:24:09,0.000000,"Wednesday"
LRCX,2012-10-17,16:15:00,16:04:30,0.008824,"Wednesday"
LRCX,2013-01-23,16:04:00,15:59:23,0.010204,"Wednesday"
LRCX,2013-04-24,16:04:00,16:01:10,0.012644,"Wednesday"
MCHP,2013-05-02,16:15:00,16:14:41,0.000000,"Thursday"
MRVL,2012-05-17,16:04:00,16:03:15,NULL,NULL
MRVL,2012-08-16,16:04:00,15:56:34,0.014815,"Thursday"
MRVL,2013-02-21,16:03:00,15:53:14,0.070588,"Thursday"
MRVL,2013-08-22,16:03:00,15:55:11,0.132673,"Thursday"
MXIM,2012-07-26,16:00:00,15:55:48,0.000000,"Thursday"
MXIM,2013-01-24,16:00:00,15:58:24,0.009091,"Thursday"
MXIM,2013-04-25,16:00:00,15:57:16,0.011594,"Thursday"
MXIM,2013-07-25,16:00:00,15:52:31,0.008511,"Thursday"
NFLX,2012-07-24,16:04:00,15:56:09,26.828571,"Tuesday"
NFLX,2013-01-23,16:04:00,15:59:27,44.245833,"Wednesday"
NFLX,2013-04-22,16:06:00,16:02:20,46.159155,"Monday"
NFLX,2013-07-22,16:00:00,15:59:54,50.894737,"Monday"
NFLX,2013-07-22,16:00:00,15:59:55,50.894737,"Monday"
NIHD,2013-05-02,06:29:00,06:27:45,0.006250,"Thursday"
NTAP,2012-05-23,16:01:00,15:54:18,NULL,NULL
