ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend),Datestartname
EXPE,2012-07-26,16:02:00,15:55:41,3736527.8261,"Thursday"
EXPE,2013-02-05,16:02:00,15:59:23,3348100.0909,"Tuesday"
EXPE,2013-04-25,16:09:00,16:07:37,2924091.1803,"Thursday"
EXPE,2013-07-25,16:01:00,15:52:24,2862387.8085,"Thursday"
FAST,2013-01-17,06:49:00,06:39:42,527.5000,"Thursday"
FAST,2013-07-10,06:49:00,06:42:16,71662.0278,"Wednesday"
FFIV,2012-10-24,16:04:00,15:56:45,1763909.5128,"Wednesday"
FFIV,2013-01-23,16:04:00,15:59:19,1723629.0800,"Wednesday"
FFIV,2013-04-24,16:04:00,16:01:06,1670354.0115,"Wednesday"
FFIV,2013-07-24,16:04:00,15:56:26,1714314.7679,"Wednesday"
FISV,2013-02-05,16:05:00,15:59:24,970199.9697,"Tuesday"
FISV,2013-04-30,16:01:00,15:56:36,794495.8197,"Tuesday"
FISV,2013-07-30,16:01:00,15:54:15,722107.5476,"Tuesday"
FLEX,2012-07-25,16:01:00,15:52:29,3738621.5714,"Wednesday"
FLEX,2013-01-24,16:01:00,15:58:20,4544709.7727,"Thursday"
FLEX,2013-04-30,16:01:00,15:56:36,4599095.7541,"Tuesday"
FLEX,2013-07-25,16:01:00,15:52:25,4552138.0213,"Thursday"
FLIR,2012-07-26,07:30:00,07:23:41,325.2000,"Thursday"
FLIR,2013-02-07,07:30:00,07:21:46,221.9388,"Thursday"
FLIR,2013-07-25,07:30:00,07:25:42,210.7759,"Thursday"
FSLR,2013-02-26,16:02:00,15:52:53,6333024.2439,"Tuesday"
FSLR,2013-05-06,16:04:00,16:00:00,5379483.5455,"Monday"
GMCR,2013-02-06,16:00:00,15:50:16,4846392.1311,"Wednesday"
GMCR,2013-05-08,16:00:00,15:58:40,4495149.3444,"Wednesday"
GRMN,2013-02-20,07:00:00,06:57:48,0.0000,"Wednesday"
ILMN,2012-07-24,16:04:00,15:56:03,1148298.1429,"Tuesday"
ILMN,2013-04-22,16:04:00,16:02:15,1496768.3429,"Monday"
ILMN,2013-07-23,16:04:00,15:56:50,1432830.8718,"Tuesday"
INTU,2012-05-17,16:00:00,15:57:48,NULL,NULL
INTU,2012-08-21,16:00:00,15:58:52,1810084.0435,"Tuesday"
INTU,2013-02-21,16:00:00,15:53:12,2136960.1373,"Thursday"
INTU,2013-08-20,16:03:00,15:56:29,1883113.1098,"Tuesday"
ISRG,2013-07-18,16:04:00,15:56:39,464520.7753,"Thursday"
KLAC,2012-07-26,16:15:00,16:06:26,2109203.9091,"Thursday"
KLAC,2013-01-24,16:15:00,16:08:54,2038323.8537,"Thursday"
KLAC,2013-04-25,16:15:00,16:07:44,2002896.2131,"Thursday"
KLAC,2013-07-25,16:15:00,16:13:28,1972576.3816,"Thursday"
LLTC,2012-07-24,16:59:00,16:48:55,2210938.3750,"Tuesday"
LLTC,2013-04-16,16:59:00,16:56:16,2413477.6154,"Tuesday"
LRCX,2012-07-25,16:30:00,16:24:09,4359351.4545,"Wednesday"
LRCX,2012-10-17,16:15:00,16:04:30,3940972.6471,"Wednesday"
LRCX,2013-01-23,16:04:00,15:59:23,3577784.8163,"Wednesday"
LRCX,2013-04-24,16:04:00,16:01:10,3011140.3103,"Wednesday"
MCHP,2013-05-02,16:15:00,16:14:41,1867207.9655,"Thursday"
MRVL,2012-05-17,16:04:00,16:03:15,NULL,NULL
MRVL,2012-08-16,16:04:00,15:56:34,11603474.0000,"Thursday"
MRVL,2013-02-21,16:03:00,15:53:14,11676305.2941,"Thursday"
MRVL,2013-08-22,16:03:00,15:55:11,9927419.3663,"Thursday"
MXIM,2012-07-26,16:00:00,15:55:48,2745336.3913,"Thursday"
MXIM,2013-01-24,16:00:00,15:58:24,2612581.9091,"Thursday"
MXIM,2013-04-25,16:00:00,15:57:16,2762811.7246,"Thursday"
MXIM,2013-07-25,16:00:00,15:52:31,2834549.7872,"Thursday"
NFLX,2012-07-24,16:04:00,15:56:09,4598416.1429,"Tuesday"
NFLX,2013-01-23,16:04:00,15:59:27,6112747.7292,"Wednesday"
NFLX,2013-04-22,16:06:00,16:02:20,5324715.2394,"Monday"
NFLX,2013-07-22,16:00:00,15:59:54,5104621.5789,"Monday"
NFLX,2013-07-22,16:00:00,15:59:55,5104621.5789,"Monday"
NIHD,2013-05-02,06:29:00,06:27:45,86.3750,"Thursday"
NTAP,2012-05-23,16:01:00,15:54:18,NULL,NULL
NTAP,2012-08-15,16:01:00,15:59:09,11441337.7500,"Wednesday"
NTAP,2013-02-13,16:01:00,15:53:34,7646626.2188,"Wednesday"
NTAP,2013-08-14,16:01:00,15:54:47,6841017.2288,"Wednesday"
NVDA,2012-05-11,07:30:00,07:27:00,NULL,NULL
NVDA,2012-08-09,16:20:00,16:13:58,10909600.3043,"Thursday"
NVDA,2013-02-13,16:20:00,16:14:34,10812021.0175,"Wednesday"
NVDA,2013-05-09,16:20:00,16:19:50,11783464.0182,"Thursday"
ORCL,2012-06-18,16:59:00,16:50:47,28900000.0000,"Monday"
ORCL,2012-12-18,16:01:00,15:59:47,30573913.0435,"Tuesday"
ORCL,2013-03-20,16:01:00,15:56:49,21614666.6667,"Wednesday"
ORCL,2013-09-18,16:01:00,15:53:13,22306015.0376,"Wednesday"
ORLY,2012-10-24,18:29:00,18:24:54,3980001.0000,"Wednesday"
PAYX,2012-09-24,16:01:00,15:51:52,3278252.4074,"Monday"
PAYX,2012-12-19,16:01:00,15:55:42,2196205.6304,"Wednesday"
PCAR,2012-07-24,07:59:00,07:57:04,9536.5385,"Tuesday"
PCAR,2013-01-31,07:59:00,07:55:57,7657.4762,"Thursday"
PCAR,2013-07-23,07:59:00,07:51:58,2791.9000,"Tuesday"
PCLN,2012-08-07,16:02:00,15:59:37,897785.8824,"Tuesday"
PCLN,2013-02-26,16:16:00,16:13:59,952762.3939,"Tuesday"
PCLN,2013-05-09,16:09:00,15:58:52,848805.9583,"Thursday"
QCOM,2013-01-30,16:00:00,15:59:15,10983358.7000,"Wednesday"
QCOM,2013-04-24,16:00:00,15:50:50,11172085.4944,"Wednesday"
QCOM,2013-07-24,16:00:00,15:56:38,11412441.1273,"Wednesday"
QGEN,2012-07-25,10:39:00,10:35:02,341744.4000,"Wednesday"
QGEN,2013-01-29,16:00:00,15:51:21,1041097.0833,"Tuesday"
QGEN,2013-04-29,07:59:00,07:54:19,108831.9868,"Monday"
QGEN,2013-07-30,17:04:00,16:57:10,977951.9167,"Tuesday"
ROST,2012-05-17,08:26:00,08:22:52,NULL,NULL
ROST,2012-08-16,08:26:00,08:15:54,170623.0345,"Thursday"
ROST,2013-03-21,08:26:00,08:18:54,242204.3704,"Thursday"
ROST,2013-08-22,16:00:00,15:55:17,2660220.0098,"Thursday"
SBUX,2012-07-26,16:03:00,15:55:57,7418259.9565,"Thursday"
SBUX,2013-01-24,16:04:00,15:58:31,7726584.8372,"Thursday"
SBUX,2013-04-25,16:04:00,15:57:24,7002435.3529,"Thursday"
SBUX,2013-07-25,16:04:00,16:03:09,6514343.7294,"Thursday"
SIAL,2012-07-24,07:59:00,07:57:07,2103.0000,"Tuesday"
SIAL,2013-02-07,07:00:00,06:50:29,0.0000,"Thursday"
SIAL,2013-07-23,07:00:00,06:59:12,11.9412,"Tuesday"
SNDK,2013-01-23,16:04:00,15:59:31,4737892.0816,"Wednesday"
SNDK,2013-04-17,16:04:00,16:02:19,4339481.4118,"Wednesday"
SNDK,2013-07-17,16:04:00,16:01:38,4472070.8333,"Wednesday"
SRCL,2012-07-25,16:02:00,15:52:41,497374.5000,"Wednesday"
SRCL,2012-10-24,16:02:00,15:56:59,380113.2051,"Wednesday"
SRCL,2013-02-06,16:02:00,16:00:53,430610.4068,"Wednesday"
SRCL,2013-04-24,16:02:00,16:01:19,437120.4713,"Wednesday"
SRCL,2013-07-24,16:02:00,15:56:42,417935.4196,"Wednesday"
SYMC,2012-07-25,07:00:00,06:52:31,0.0000,"Wednesday"
SYMC,2012-10-24,16:05:00,15:56:59,10461989.8462,"Wednesday"
SYMC,2013-01-23,07:59:00,07:55:58,33653.8776,"Wednesday"
SYMC,2013-05-07,16:04:00,16:02:32,8115886.5862,"Tuesday"
SYMC,2013-07-30,16:01:00,15:54:31,8182240.5156,"Tuesday"
URBN,2012-05-21,16:00:00,15:50:18,NULL,NULL
URBN,2012-08-20,16:00:00,15:55:24,2804533.3529,"Monday"
URBN,2012-11-19,16:00:00,15:57:02,2956359.9714,"Monday"
URBN,2013-03-11,16:46:00,16:42:15,2596953.2895,"Monday"
URBN,2013-05-20,16:00:00,15:58:51,2392051.2093,"Monday"
URBN,2013-08-19,16:01:00,15:58:52,2137234.1026,"Monday"
VRSN,2012-07-26,16:04:00,15:55:59,2077625.1739,"Thursday"
VRSN,2013-01-24,16:04:00,15:58:33,2459187.1136,"Thursday"
VRSN,2013-04-25,16:04:00,15:57:26,2487735.1304,"Thursday"
VRSN,2013-07-25,16:04:00,16:03:11,2223055.0116,"Thursday"
WYNN,2012-10-24,16:02:00,15:57:04,1648823.7949,"Wednesday"
WYNN,2013-01-31,16:01:00,15:59:05,1945348.7955,"Thursday"
WYNN,2013-04-25,16:02:00,15:57:28,1704118.8088,"Thursday"
WYNN,2013-07-29,07:30:00,07:26:19,200882.2338,"Monday"
XLNX,2012-10-17,16:20:00,16:15:17,2659487.5938,"Wednesday"
XLNX,2013-01-17,16:20:00,16:18:45,3034251.3429,"Thursday"
XLNX,2013-04-24,16:20:00,16:11:47,3015708.6747,"Wednesday"
XLNX,2013-07-17,16:20:00,16:12:17,2939490.3462,"Wednesday"
YHOO,2013-04-16,16:04:00,15:53:50,19149438.7759,"Tuesday"
YHOO,2013-07-16,16:04:00,15:55:57,18771139.5128,"Tuesday"
