ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend)
FSLR,2013-05-06,16:04:00,16:00:00,7857187.2500
GMCR,2013-02-06,16:00:00,15:50:16,10550000.0000
GMCR,2013-05-08,16:00:00,15:58:40,8287519.7500
GRMN,2013-02-20,07:00:00,06:57:48,1550.0000
ILMN,2012-07-24,16:04:00,15:56:03,2240215.0000
ILMN,2013-04-22,16:04:00,16:02:15,1963841.0000
ILMN,2013-07-23,16:04:00,15:56:50,1372584.0000
INTU,2012-05-17,16:00:00,15:57:48,2945406.0000
INTU,2012-08-21,16:00:00,15:58:52,2664856.0000
INTU,2013-02-21,16:00:00,15:53:12,1938867.5000
INTU,2013-08-20,16:03:00,15:56:29,2314639.7500
ISRG,2013-07-18,16:04:00,15:56:39,717480.7500
KLAC,2012-07-26,16:15:00,16:06:26,2751519.0000
KLAC,2013-01-24,16:15:00,16:08:54,NULL
KLAC,2013-04-25,16:15:00,16:07:44,2449916.0000
KLAC,2013-07-25,16:15:00,16:13:28,2013167.6667
LLTC,2012-07-24,16:59:00,16:48:55,3216161.0000
LLTC,2013-04-16,16:59:00,16:56:16,NULL
LRCX,2012-07-25,16:30:00,16:24:09,NULL
LRCX,2012-10-17,16:15:00,16:04:30,4435358.7500
LRCX,2013-01-23,16:04:00,15:59:23,2592527.5000
LRCX,2013-04-24,16:04:00,16:01:10,1801061.2500
MCHP,2013-05-02,16:15:00,16:14:41,2325229.3333
MRVL,2012-05-17,16:04:00,16:03:15,14550000.0000
MRVL,2012-08-16,16:04:00,15:56:34,16550000.0000
MRVL,2013-02-21,16:03:00,15:53:14,15200000.0000
MRVL,2013-08-22,16:03:00,15:55:11,4195739.3333
MXIM,2012-07-26,16:00:00,15:55:48,2506662.0000
MXIM,2013-01-24,16:00:00,15:58:24,2600009.0000
MXIM,2013-04-25,16:00:00,15:57:16,3160201.3333
MXIM,2013-07-25,16:00:00,15:52:31,5164773.0000
NFLX,2012-07-24,16:04:00,15:56:09,9014258.5000
NFLX,2013-01-23,16:04:00,15:59:27,10142672.2500
NFLX,2013-04-22,16:06:00,16:02:20,11725000.0000
NFLX,2013-07-22,16:00:00,15:59:54,6194247.7500
NFLX,2013-07-22,16:00:00,15:59:55,6242105.7500
NIHD,2013-05-02,06:29:00,06:27:45,16217.2500
NTAP,2012-05-23,16:01:00,15:54:18,30950000.0000
NTAP,2012-08-15,16:01:00,15:59:09,12600000.0000
NTAP,2013-02-13,16:01:00,15:53:34,10200000.0000
NTAP,2013-08-14,16:01:00,15:54:47,9101770.6667
NVDA,2012-05-11,07:30:00,07:27:00,1630859.5000
NVDA,2012-08-09,16:20:00,16:13:58,20350000.0000
NVDA,2013-02-13,16:20:00,16:14:34,21300000.0000
