ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend)
FLIR,2013-07-25,07:30:00,07:25:42,1878428.3077
FSLR,2013-02-26,16:02:00,15:52:53,14996719.7222
FSLR,2013-05-06,16:04:00,16:00:00,8565152.5781
GMCR,2013-02-06,16:00:00,15:50:16,9489817.3333
GMCR,2013-05-08,16:00:00,15:58:40,15635046.4375
GRMN,2013-02-20,07:00:00,06:57:48,4041186.0000
ILMN,2012-07-24,16:04:00,15:56:03,1542110.7536
ILMN,2013-04-22,16:04:00,16:02:15,4042473.2632
ILMN,2013-07-23,16:04:00,15:56:50,2584456.6182
INTU,2012-05-17,16:00:00,15:57:48,1406806.6250
INTU,2012-08-21,16:00:00,15:58:52,2436085.8475
INTU,2013-02-21,16:00:00,15:53:12,1837057.4342
INTU,2013-08-20,16:03:00,15:56:29,1434166.2258
ISRG,2013-07-18,16:04:00,15:56:39,2258197.5574
KLAC,2012-07-26,16:15:00,16:06:26,2083222.9545
KLAC,2013-01-24,16:15:00,16:08:54,4464790.4231
KLAC,2013-04-25,16:15:00,16:07:44,4857976.2391
KLAC,2013-07-25,16:15:00,16:13:28,1529052.6863
LLTC,2012-07-24,16:59:00,16:48:55,2465983.1045
LLTC,2013-04-16,16:59:00,16:56:16,4056371.9375
LRCX,2012-07-25,16:30:00,16:24:09,3318960.6226
LRCX,2012-10-17,16:15:00,16:04:30,4444918.2609
LRCX,2013-01-23,16:04:00,15:59:23,1920837.4286
LRCX,2013-04-24,16:04:00,16:01:10,3143292.7872
MCHP,2013-05-02,16:15:00,16:14:41,2075217.4314
MRVL,2012-05-17,16:04:00,16:03:15,6099695.5210
MRVL,2012-08-16,16:04:00,15:56:34,29231849.5167
MRVL,2013-02-21,16:03:00,15:53:14,16234009.0875
MRVL,2013-08-22,16:03:00,15:55:11,10184081.8167
MXIM,2012-07-26,16:00:00,15:55:48,2263820.7273
MXIM,2013-01-24,16:00:00,15:58:24,1793308.2500
MXIM,2013-04-25,16:00:00,15:57:16,4923680.3778
MXIM,2013-07-25,16:00:00,15:52:31,7884783.3922
NFLX,2012-07-24,16:04:00,15:56:09,12640883.5735
NFLX,2013-01-23,16:04:00,15:59:27,9284118.9841
NFLX,2013-04-22,16:06:00,16:02:20,9503903.1587
NFLX,2013-07-22,16:00:00,15:59:54,6375686.6548
NFLX,2013-07-22,16:00:00,15:59:55,6375686.6548
NIHD,2013-05-02,06:29:00,06:27:45,6030313.4035
NTAP,2012-05-23,16:01:00,15:54:18,32259831.5161
NTAP,2012-08-15,16:01:00,15:59:09,11977546.3036
NTAP,2013-02-13,16:01:00,15:53:34,6424247.8704
NTAP,2013-08-14,16:01:00,15:54:47,6814158.8814
NVDA,2012-05-11,07:30:00,07:27:00,24912766.7805
NVDA,2012-08-09,16:20:00,16:13:58,19923678.1803
NVDA,2013-02-13,16:20:00,16:14:34,11002788.8387
NVDA,2013-05-09,16:20:00,16:19:50,12264845.5000
ORCL,2012-06-18,16:59:00,16:50:47,45241555.4590
ORCL,2012-12-18,16:01:00,15:59:47,41539285.7143
ORCL,2013-03-20,16:01:00,15:56:49,68438102.6897
ORCL,2013-09-18,16:01:00,15:53:13,38550000.0000
ORLY,2012-10-24,18:29:00,18:24:54,NULL
PAYX,2012-09-24,16:01:00,15:51:52,2586318.0625
PAYX,2012-12-19,16:01:00,15:55:42,5889085.5658
PCAR,2012-07-24,07:59:00,07:57:04,3099696.1739
PCAR,2013-01-31,07:59:00,07:55:57,1828059.8039
PCAR,2013-07-23,07:59:00,07:51:58,1606701.8909
PCLN,2012-08-07,16:02:00,15:59:37,2749197.1000
PCLN,2013-02-26,16:16:00,16:13:59,1408483.6517
PCLN,2013-05-09,16:09:00,15:58:52,1273923.0820
QCOM,2013-01-30,16:00:00,15:59:15,14522630.2931
QCOM,2013-04-24,16:00:00,15:50:50,28887977.0492
QCOM,2013-07-24,16:00:00,15:56:38,14536791.4844
QGEN,2012-07-25,10:39:00,10:35:02,2085192.7222
QGEN,2013-01-29,16:00:00,15:51:21,1066404.6786
QGEN,2013-04-29,07:59:00,07:54:19,554440.6094
QGEN,2013-07-30,17:04:00,16:57:10,950316.0000
ROST,2012-05-17,08:26:00,08:22:52,1523251.1212
ROST,2012-08-16,08:26:00,08:15:54,2358101.2333
ROST,2013-03-21,08:26:00,08:18:54,2647444.6250
ROST,2013-08-22,16:00:00,15:55:17,1728066.0333
SBUX,2012-07-26,16:03:00,15:55:57,19843181.8182
SBUX,2013-01-24,16:04:00,15:58:31,8763731.6275
SBUX,2013-04-25,16:04:00,15:57:24,4519864.0588
SBUX,2013-07-25,16:04:00,16:03:09,10355930.1765
SIAL,2012-07-24,07:59:00,07:57:07,774169.1304
SIAL,2013-02-07,07:00:00,06:50:29,465810.4773
SIAL,2013-07-23,07:00:00,06:59:12,533084.2545
SNDK,2013-01-23,16:04:00,15:59:31,6182279.9839
SNDK,2013-04-17,16:04:00,16:02:19,7957511.3333
SNDK,2013-07-17,16:04:00,16:01:38,8176654.8793
SRCL,2012-07-25,16:02:00,15:52:41,558572.0926
SRCL,2012-10-24,16:02:00,15:56:59,1412402.4545
SRCL,2013-02-06,16:02:00,16:00:53,756958.6500
SRCL,2013-04-24,16:02:00,16:01:19,426497.9362
SRCL,2013-07-24,16:02:00,15:56:42,209896.4844
SYMC,2012-07-25,07:00:00,06:52:31,22224038.6727
SYMC,2012-10-24,16:05:00,15:56:59,11491666.6667
SYMC,2013-01-23,07:59:00,07:55:58,10712939.4603
SYMC,2013-05-07,16:04:00,16:02:32,9673380.6818
SYMC,2013-07-30,16:01:00,15:54:31,9061177.1250
URBN,2012-05-21,16:00:00,15:50:18,6122285.6721
URBN,2012-08-20,16:00:00,15:55:24,12115472.7000
URBN,2012-11-19,16:00:00,15:57:02,5341048.6667
URBN,2013-03-11,16:46:00,16:42:15,2095850.6111
URBN,2013-05-20,16:00:00,15:58:51,2686477.6667
URBN,2013-08-19,16:01:00,15:58:52,4134438.7759
VRSN,2012-07-26,16:04:00,15:55:59,3251123.5227
VRSN,2013-01-24,16:04:00,15:58:33,4877273.9412
VRSN,2013-04-25,16:04:00,15:57:26,3601148.8085
VRSN,2013-07-25,16:04:00,16:03:11,2306101.1176
WYNN,2012-10-24,16:02:00,15:57:04,1913893.0000
WYNN,2013-01-31,16:01:00,15:59:05,2157723.6863
WYNN,2013-04-25,16:02:00,15:57:28,1257235.9020
WYNN,2013-07-29,07:30:00,07:26:19,909099.5741
XLNX,2012-10-17,16:20:00,16:15:17,3289082.0455
XLNX,2013-01-17,16:20:00,16:18:45,4016513.6383
XLNX,2013-04-24,16:20:00,16:11:47,2910856.6786
XLNX,2013-07-17,16:20:00,16:12:17,6199118.2167
YHOO,2013-04-16,16:04:00,15:53:50,28744249.3621
YHOO,2013-07-16,16:04:00,15:55:57,41484198.6393
