ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend)
FSLR,2013-02-26,16:02:00,15:52:53,7887619.0000
FSLR,2013-05-06,16:04:00,16:00:00,7925968.8333
GMCR,2013-02-06,16:00:00,15:50:16,10650000.0000
GMCR,2013-05-08,16:00:00,15:58:40,8287519.7500
GRMN,2013-02-20,07:00:00,06:57:48,674112.9167
ILMN,2012-07-24,16:04:00,15:56:03,2240215.0000
ILMN,2013-04-22,16:04:00,16:02:15,1966076.7143
ILMN,2013-07-23,16:04:00,15:56:50,1372584.0000
INTU,2012-05-17,16:00:00,15:57:48,2948393.1429
INTU,2012-08-21,16:00:00,15:58:52,2664856.0000
INTU,2013-02-21,16:00:00,15:53:12,1939899.1667
INTU,2013-08-20,16:03:00,15:56:29,2315450.8000
ISRG,2013-07-18,16:04:00,15:56:39,726551.1667
KLAC,2012-07-26,16:15:00,16:06:26,2752111.8571
KLAC,2013-01-24,16:15:00,16:08:54,NULL
KLAC,2013-04-25,16:15:00,16:07:44,2449916.0000
KLAC,2013-07-25,16:15:00,16:13:28,2013167.6667
LLTC,2012-07-24,16:59:00,16:48:55,3216161.0000
LLTC,2013-04-16,16:59:00,16:56:16,NULL
LRCX,2012-07-25,16:30:00,16:24:09,NULL
LRCX,2012-10-17,16:15:00,16:04:30,4442475.4167
LRCX,2013-01-23,16:04:00,15:59:23,2594515.0000
LRCX,2013-04-24,16:04:00,16:01:10,1802050.0000
MCHP,2013-05-02,16:15:00,16:14:41,2325229.3333
MRVL,2012-05-17,16:04:00,16:03:15,14566666.6667
MRVL,2012-08-16,16:04:00,15:56:34,16640000.0000
MRVL,2013-02-21,16:03:00,15:53:14,15266666.6667
MRVL,2013-08-22,16:03:00,15:55:11,4195739.3333
MXIM,2012-07-26,16:00:00,15:55:48,2506910.5000
MXIM,2013-01-24,16:00:00,15:58:24,2600009.0000
MXIM,2013-04-25,16:00:00,15:57:16,3160201.3333
MXIM,2013-07-25,16:00:00,15:52:31,5165373.0000
NFLX,2012-07-24,16:04:00,15:56:09,9097188.0000
NFLX,2013-01-23,16:04:00,15:59:27,10195114.8333
NFLX,2013-04-22,16:06:00,16:02:20,11828571.4286
NFLX,2013-07-22,16:00:00,15:59:54,6333438.1667
NFLX,2013-07-22,16:00:00,15:59:55,6361498.9167
NIHD,2013-05-02,06:29:00,06:27:45,318396.0833
NTAP,2012-05-23,16:01:00,15:54:18,32010000.0000
NTAP,2012-08-15,16:01:00,15:59:09,12600000.0000
NTAP,2013-02-13,16:01:00,15:53:34,10233333.3333
NTAP,2013-08-14,16:01:00,15:54:47,9101770.6667
NVDA,2012-05-11,07:30:00,07:27:00,12576953.1667
NVDA,2012-08-09,16:20:00,16:13:58,20383333.3333
NVDA,2013-02-13,16:20:00,16:14:34,21300000.0000
NVDA,2013-05-09,16:20:00,16:19:50,14137500.0000
ORCL,2012-06-18,16:59:00,16:50:47,37600000.0000
