ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin)
ILMN,2013-04-22,16:04:00,16:02:15,0.528070
ILMN,2013-07-23,16:04:00,15:56:50,0.707273
INTU,2012-05-17,16:00:00,15:57:48,0.007500
INTU,2012-08-21,16:00:00,15:58:52,0.650847
INTU,2013-02-21,16:00:00,15:53:12,0.643421
INTU,2013-08-20,16:03:00,15:56:29,0.643548
ISRG,2013-07-18,16:04:00,15:56:39,0.218033
KLAC,2012-07-26,16:15:00,16:06:26,0.000000
KLAC,2013-01-24,16:15:00,16:08:54,0.082692
KLAC,2013-04-25,16:15:00,16:07:44,0.045652
KLAC,2013-07-25,16:15:00,16:13:28,0.003922
LLTC,2012-07-24,16:59:00,16:48:55,0.025373
LLTC,2013-04-16,16:59:00,16:56:16,0.014583
LRCX,2012-07-25,16:30:00,16:24:09,0.011321
LRCX,2012-10-17,16:15:00,16:04:30,0.334783
LRCX,2013-01-23,16:04:00,15:59:23,0.009524
LRCX,2013-04-24,16:04:00,16:01:10,0.012766
MCHP,2013-05-02,16:15:00,16:14:41,0.023529
MRVL,2012-05-17,16:04:00,16:03:15,0.028571
MRVL,2012-08-16,16:04:00,15:56:34,0.246667
MRVL,2013-02-21,16:03:00,15:53:14,0.273750
MRVL,2013-08-22,16:03:00,15:55:11,0.048333
MXIM,2012-07-26,16:00:00,15:55:48,0.029545
MXIM,2013-01-24,16:00:00,15:58:24,0.019231
MXIM,2013-04-25,16:00:00,15:57:16,0.015556
MXIM,2013-07-25,16:00:00,15:52:31,0.001961
NFLX,2012-07-24,16:04:00,15:56:09,30.711765
NFLX,2013-01-23,16:04:00,15:59:27,48.709524
NFLX,2013-04-22,16:06:00,16:02:20,52.360317
NFLX,2013-07-22,16:00:00,15:59:54,65.270238
NFLX,2013-07-22,16:00:00,15:59:55,65.270238
NIHD,2013-05-02,06:29:00,06:27:45,0.140351
NTAP,2012-05-23,16:01:00,15:54:18,1.551613
NTAP,2012-08-15,16:01:00,15:59:09,0.637500
NTAP,2013-02-13,16:01:00,15:53:34,0.820370
NTAP,2013-08-14,16:01:00,15:54:47,0.589831
NVDA,2012-05-11,07:30:00,07:27:00,5.841463
NVDA,2012-08-09,16:20:00,16:13:58,4.096721
NVDA,2013-02-13,16:20:00,16:14:34,4.853226
NVDA,2013-05-09,16:20:00,16:19:50,3.041667
ORCL,2012-06-18,16:59:00,16:50:47,10.737705
ORCL,2012-12-18,16:01:00,15:59:47,10.467857
ORCL,2013-03-20,16:01:00,15:56:49,14.515517
ORCL,2013-09-18,16:01:00,15:53:13,19.900000
ORLY,2012-10-24,18:29:00,18:24:54,NULL
PAYX,2012-09-24,16:01:00,15:51:52,0.350000
PAYX,2012-12-19,16:01:00,15:55:42,0.077632
PCAR,2012-07-24,07:59:00,07:57:04,0.189855
PCAR,2013-01-31,07:59:00,07:55:57,0.119608
PCAR,2013-07-23,07:59:00,07:51:58,0.110909
PCLN,2012-08-07,16:02:00,15:59:37,2.150000
PCLN,2013-02-26,16:16:00,16:13:59,0.442697
PCLN,2013-05-09,16:09:00,15:58:52,0.775410
QCOM,2013-01-30,16:00:00,15:59:15,3.496552
QCOM,2013-04-24,16:00:00,15:50:50,2.670492
QCOM,2013-07-24,16:00:00,15:56:38,1.298438
QGEN,2012-07-25,10:39:00,10:35:02,0.001852
QGEN,2013-01-29,16:00:00,15:51:21,0.003571
QGEN,2013-04-29,07:59:00,07:54:19,0.007813
QGEN,2013-07-30,17:04:00,16:57:10,0.000000
ROST,2012-05-17,08:26:00,08:22:52,0.044697
ROST,2012-08-16,08:26:00,08:15:54,0.156667
ROST,2013-03-21,08:26:00,08:18:54,0.133333
ROST,2013-08-22,16:00:00,15:55:17,0.075000
SBUX,2012-07-26,16:03:00,15:55:57,72.561364
SBUX,2013-01-24,16:04:00,15:58:31,101.378431
SBUX,2013-04-25,16:04:00,15:57:24,100.688235
SBUX,2013-07-25,16:04:00,16:03:09,98.437255
SIAL,2012-07-24,07:59:00,07:57:07,0.000000
SIAL,2013-02-07,07:00:00,06:50:29,0.043182
SIAL,2013-07-23,07:00:00,06:59:12,0.047273
SNDK,2013-01-23,16:04:00,15:59:31,1.116129
SNDK,2013-04-17,16:04:00,16:02:19,1.503175
SNDK,2013-07-17,16:04:00,16:01:38,1.427586
SRCL,2012-07-25,16:02:00,15:52:41,0.053704
SRCL,2012-10-24,16:02:00,15:56:59,0.054545
SRCL,2013-02-06,16:02:00,16:00:53,0.020000
SRCL,2013-04-24,16:02:00,16:01:19,0.023404
SRCL,2013-07-24,16:02:00,15:56:42,0.021875
SYMC,2012-07-25,07:00:00,06:52:31,3.181818
SYMC,2012-10-24,16:05:00,15:56:59,2.108333
SYMC,2013-01-23,07:59:00,07:55:58,2.320635
SYMC,2013-05-07,16:04:00,16:02:32,1.346970
SYMC,2013-07-30,16:01:00,15:54:31,1.075000
URBN,2012-05-21,16:00:00,15:50:18,2.003279
URBN,2012-08-20,16:00:00,15:55:24,5.116667
URBN,2012-11-19,16:00:00,15:57:02,3.083333
URBN,2013-03-11,16:46:00,16:42:15,2.277778
URBN,2013-05-20,16:00:00,15:58:51,2.900000
URBN,2013-08-19,16:01:00,15:58:52,2.558621
VRSN,2012-07-26,16:04:00,15:55:59,0.102273
VRSN,2013-01-24,16:04:00,15:58:33,0.113725
VRSN,2013-04-25,16:04:00,15:57:26,0.161702
VRSN,2013-07-25,16:04:00,16:03:11,0.121569
WYNN,2012-10-24,16:02:00,15:57:04,1.108333
WYNN,2013-01-31,16:01:00,15:59:05,0.101961
WYNN,2013-04-25,16:02:00,15:57:28,0.078431
WYNN,2013-07-29,07:30:00,07:26:19,0.224074
XLNX,2012-10-17,16:20:00,16:15:17,0.590909
XLNX,2013-01-17,16:20:00,16:18:45,0.061702
XLNX,2013-04-24,16:20:00,16:11:47,0.067857
XLNX,2013-07-17,16:20:00,16:12:17,0.078333
YHOO,2013-04-16,16:04:00,15:53:50,95.598276
YHOO,2013-07-16,16:04:00,15:55:57,74.621311
