ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend),timeperiod_endtime
DELL,2012-08-21,16:01:00,15:58:45,21089961.4536,"2012-08-28 15:58:45"
DELL,2013-02-19,16:01:00,15:57:02,12641476.5226,"2013-02-26 15:57:02"
DELL,2013-05-16,16:01:00,15:59:11,7152253.5536,"2013-05-23 15:59:11"
DELL,2013-08-15,16:03:00,16:02:27,5562186.9732,"2013-08-22 16:02:27"
DLTR,2012-05-17,08:00:00,07:55:29,977469.5354,"2012-05-24 07:55:29"
DLTR,2012-08-16,07:36:00,07:32:56,1961316.5248,"2012-08-23 07:32:56"
DLTR,2013-02-27,07:34:00,07:32:41,4039296.8760,"2013-03-06 07:32:41"
DLTR,2013-08-22,07:33:00,07:27:54,966823.6395,"2013-08-29 07:27:54"
ESRX,2012-08-07,16:01:00,15:59:27,3858950.9341,"2012-08-14 15:59:27"
ESRX,2013-02-18,16:01:00,16:00:14,6359061.9849,"2013-02-25 16:00:14"
ESRX,2013-04-29,16:01:00,15:56:41,4462846.8915,"2013-05-06 15:56:41"
ESRX,2013-07-29,16:01:00,15:51:48,6478948.8913,"2013-08-05 15:51:48"
EXPD,2012-08-07,09:00:00,08:55:55,1330479.8107,"2012-08-14 08:55:55"
EXPD,2013-02-26,09:00:00,08:52:44,2861459.1104,"2013-03-05 08:52:44"
EXPD,2013-05-01,16:15:00,16:08:12,1673435.3418,"2013-05-08 16:08:12"
EXPE,2012-07-26,16:02:00,15:55:41,14308859.6618,"2012-08-02 15:55:41"
EXPE,2013-02-05,16:02:00,15:59:23,2328350.1480,"2013-02-12 15:59:23"
EXPE,2013-04-25,16:09:00,16:07:37,3387140.3716,"2013-05-02 16:07:37"
EXPE,2013-07-25,16:01:00,15:52:24,11704242.4759,"2013-08-01 15:52:24"
FAST,2013-01-17,06:49:00,06:39:42,2112845.2696,"2013-01-24 06:39:42"
FAST,2013-07-10,06:49:00,06:42:16,1458073.4967,"2013-07-17 06:42:16"
FFIV,2012-10-24,16:04:00,15:56:45,3008356.4444,"2012-10-31 15:56:45"
FFIV,2013-01-23,16:04:00,15:59:19,1133618.0377,"2013-01-30 15:59:19"
FFIV,2013-04-24,16:04:00,16:01:06,1623614.4677,"2013-05-01 16:01:06"
FFIV,2013-07-24,16:04:00,15:56:26,1939230.7788,"2013-07-31 15:56:26"
FISV,2013-02-05,16:05:00,15:59:24,437994.7834,"2013-02-12 15:59:24"
FISV,2013-04-30,16:01:00,15:56:36,663494.7778,"2013-05-07 15:56:36"
FISV,2013-07-30,16:01:00,15:54:15,780289.0000,"2013-08-06 15:54:15"
FLEX,2012-07-25,16:01:00,15:52:29,2842687.8689,"2012-08-01 15:52:29"
FLEX,2013-01-24,16:01:00,15:58:20,4164244.1806,"2013-01-31 15:58:20"
