ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin)
ILMN,2013-04-22,16:04:00,16:02:15,0.800000
ILMN,2013-07-23,16:04:00,15:56:50,0.575000
INTU,2012-05-17,16:00:00,15:57:48,0.000000
INTU,2012-08-21,16:00:00,15:58:52,3.600000
INTU,2013-02-21,16:00:00,15:53:12,0.533333
INTU,2013-08-20,16:03:00,15:56:29,0.840000
ISRG,2013-07-18,16:04:00,15:56:39,0.300000
KLAC,2012-07-26,16:15:00,16:06:26,0.000000
KLAC,2013-01-24,16:15:00,16:08:54,NULL
KLAC,2013-04-25,16:15:00,16:07:44,0.150000
KLAC,2013-07-25,16:15:00,16:13:28,0.000000
LLTC,2012-07-24,16:59:00,16:48:55,0.028571
LLTC,2013-04-16,16:59:00,16:56:16,NULL
LRCX,2012-07-25,16:30:00,16:24:09,NULL
LRCX,2012-10-17,16:15:00,16:04:30,0.600000
LRCX,2013-01-23,16:04:00,15:59:23,0.066667
LRCX,2013-04-24,16:04:00,16:01:10,0.000000
MCHP,2013-05-02,16:15:00,16:14:41,0.100000
MRVL,2012-05-17,16:04:00,16:03:15,0.300000
MRVL,2012-08-16,16:04:00,15:56:34,0.580000
MRVL,2013-02-21,16:03:00,15:53:14,1.400000
MRVL,2013-08-22,16:03:00,15:55:11,0.066667
MXIM,2012-07-26,16:00:00,15:55:48,0.062500
MXIM,2013-01-24,16:00:00,15:58:24,0.000000
MXIM,2013-04-25,16:00:00,15:57:16,0.000000
MXIM,2013-07-25,16:00:00,15:52:31,0.020000
NFLX,2012-07-24,16:04:00,15:56:09,47.258333
NFLX,2013-01-23,16:04:00,15:59:27,85.333333
NFLX,2013-04-22,16:06:00,16:02:20,91.957143
NFLX,2013-07-22,16:00:00,15:59:54,91.225000
NFLX,2013-07-22,16:00:00,15:59:55,88.400000
NIHD,2013-05-02,06:29:00,06:27:45,0.191667
NTAP,2012-05-23,16:01:00,15:54:18,3.040000
NTAP,2012-08-15,16:01:00,15:59:09,1.025000
NTAP,2013-02-13,16:01:00,15:53:34,0.983333
NTAP,2013-08-14,16:01:00,15:54:47,1.300000
NVDA,2012-05-11,07:30:00,07:27:00,11.033333
NVDA,2012-08-09,16:20:00,16:13:58,8.733333
NVDA,2013-02-13,16:20:00,16:14:34,13.500000
NVDA,2013-05-09,16:20:00,16:19:50,4.262500
ORCL,2012-06-18,16:59:00,16:50:47,17.350000
ORCL,2012-12-18,16:01:00,15:59:47,20.883333
ORCL,2013-03-20,16:01:00,15:56:49,22.350000
ORCL,2013-09-18,16:01:00,15:53:13,19.900000
ORLY,2012-10-24,18:29:00,18:24:54,NULL
PAYX,2012-09-24,16:01:00,15:51:52,0.458333
PAYX,2012-12-19,16:01:00,15:55:42,0.075000
PCAR,2012-07-24,07:59:00,07:57:04,0.416667
PCAR,2013-01-31,07:59:00,07:55:57,0.191667
PCAR,2013-07-23,07:59:00,07:51:58,0.358333
PCLN,2012-08-07,16:02:00,15:59:37,2.150000
PCLN,2013-02-26,16:16:00,16:13:59,NULL
PCLN,2013-05-09,16:09:00,15:58:52,1.190000
QCOM,2013-01-30,16:00:00,15:59:15,25.066667
QCOM,2013-04-24,16:00:00,15:50:50,12.950000
QCOM,2013-07-24,16:00:00,15:56:38,2.633333
