ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin),timeperiod_endtime
DLTR,2012-05-17,08:00:00,07:55:29,0.531496,"2012-05-24 07:55:29"
DLTR,2012-08-16,07:36:00,07:32:56,1.036634,"2012-08-23 07:32:56"
DLTR,2013-02-27,07:34:00,07:32:41,0.625066,"2013-03-06 07:32:41"
DLTR,2013-08-22,07:33:00,07:27:54,0.674150,"2013-08-29 07:27:54"
ESRX,2012-08-07,16:01:00,15:59:27,0.134731,"2012-08-14 15:59:27"
ESRX,2013-02-18,16:01:00,16:00:14,0.174717,"2013-02-25 16:00:14"
ESRX,2013-04-29,16:01:00,15:56:41,0.102326,"2013-05-06 15:56:41"
ESRX,2013-07-29,16:01:00,15:51:48,0.180435,"2013-08-05 15:51:48"
EXPD,2012-08-07,09:00:00,08:55:55,0.000000,"2012-08-14 08:55:55"
EXPD,2013-02-26,09:00:00,08:52:44,0.000000,"2013-03-05 08:52:44"
EXPD,2013-05-01,16:15:00,16:08:12,0.000000,"2013-05-08 16:08:12"
EXPE,2012-07-26,16:02:00,15:55:41,0.910294,"2012-08-02 15:55:41"
EXPE,2013-02-05,16:02:00,15:59:23,1.264126,"2013-02-12 15:59:23"
EXPE,2013-04-25,16:09:00,16:07:37,1.486590,"2013-05-02 16:07:37"
EXPE,2013-07-25,16:01:00,15:52:24,1.306024,"2013-08-01 15:52:24"
FAST,2013-01-17,06:49:00,06:39:42,0.053584,"2013-01-24 06:39:42"
FAST,2013-07-10,06:49:00,06:42:16,0.051000,"2013-07-17 06:42:16"
FFIV,2012-10-24,16:04:00,15:56:45,0.136111,"2012-10-31 15:56:45"
FFIV,2013-01-23,16:04:00,15:59:19,0.055479,"2013-01-30 15:59:19"
FFIV,2013-04-24,16:04:00,16:01:06,0.039163,"2013-05-01 16:01:06"
FFIV,2013-07-24,16:04:00,15:56:26,0.045133,"2013-07-31 15:56:26"
FISV,2013-02-05,16:05:00,15:59:24,0.075576,"2013-02-12 15:59:24"
FISV,2013-04-30,16:01:00,15:56:36,0.093651,"2013-05-07 15:56:36"
FISV,2013-07-30,16:01:00,15:54:15,0.130000,"2013-08-06 15:54:15"
FLEX,2012-07-25,16:01:00,15:52:29,0.027869,"2012-08-01 15:52:29"
FLEX,2013-01-24,16:01:00,15:58:20,0.050694,"2013-01-31 15:58:20"
FLEX,2013-04-30,16:01:00,15:56:36,0.048031,"2013-05-07 15:56:36"
FLEX,2013-07-25,16:01:00,15:52:25,0.041718,"2013-08-01 15:52:25"
FLIR,2012-07-26,07:30:00,07:23:41,0.011404,"2012-08-02 07:23:41"
FLIR,2013-02-07,07:30:00,07:21:46,0.033500,"2013-02-14 07:21:46"
FLIR,2013-07-25,07:30:00,07:25:42,0.014833,"2013-08-01 07:25:42"
FSLR,2013-02-26,16:02:00,15:52:53,0.258549,"2013-03-05 15:52:53"
FSLR,2013-05-06,16:04:00,16:00:00,0.575000,"2013-05-13 16:00:00"
GMCR,2013-02-06,16:00:00,15:50:16,0.132579,"2013-02-13 15:50:16"
GMCR,2013-05-08,16:00:00,15:58:40,0.184615,"2013-05-15 15:58:40"
GRMN,2013-02-20,07:00:00,06:57:48,2.757308,"2013-02-27 06:57:48"
ILMN,2012-07-24,16:04:00,15:56:03,0.261579,"2012-07-31 15:56:03"
ILMN,2013-04-22,16:04:00,16:02:15,0.581707,"2013-04-29 16:02:15"
ILMN,2013-07-23,16:04:00,15:56:50,0.560223,"2013-07-30 15:56:50"
INTU,2012-05-17,16:00:00,15:57:48,0.014448,"2012-05-24 15:57:48"
INTU,2012-08-21,16:00:00,15:58:52,0.422527,"2012-08-28 15:58:52"
INTU,2013-02-21,16:00:00,15:53:12,0.473512,"2013-02-28 15:53:12"
INTU,2013-08-20,16:03:00,15:56:29,0.869900,"2013-08-27 15:56:29"
